Brdisv1ABR81000001m.g	GO:0043531
Brdisv1ABR81000002m.g	GO:0043531
Brdisv1ABR81000003m.g	GO:0006629
Brdisv1ABR81000004m.g	
Brdisv1ABR81000005m.g	GO:0003677, GO:0003899, GO:0005665, GO:0006351, GO:0006366
Brdisv1ABR81000006m.g	
Brdisv1ABR81000007m.g	
Brdisv1ABR81000009m.g	
Brdisv1ABR81000010m.g	
Brdisv1ABR81000011m.g	
Brdisv1ABR81000012m.g	
Brdisv1ABR81000013m.g	
Brdisv1ABR81000014m.g	
Brdisv1ABR81000015m.g	
Brdisv1ABR81000016m.g	
Brdisv1ABR81000017m.g	
Brdisv1ABR81000018m.g	
Brdisv1ABR81000019m.g	GO:0016020
Brdisv1ABR81000020m.g	
Brdisv1ABR81000023m.g	GO:0005515
Brdisv1ABR81000027m.g	
Brdisv1ABR81000028m.g	
Brdisv1ABR81000030m.g	
Brdisv1ABR81000031m.g	GO:0005515
Brdisv1ABR81000033m.g	GO:0003729, GO:0005685, GO:0006376
Brdisv1ABR81000041m.g	GO:0003676
Brdisv1ABR81000045m.g	
Brdisv1ABR81000048m.g	GO:0030001, GO:0046872
Brdisv1ABR81000049m.g	GO:0005215, GO:0006810, GO:0016020
Brdisv1ABR81000050m.g	
Brdisv1ABR81000053m.g	
Brdisv1ABR81000054m.g	GO:0005515
Brdisv1ABR81000055m.g	GO:0004672, GO:0006468
Brdisv1ABR81000056m.g	
Brdisv1ABR81000058m.g	GO:0003774, GO:0005515, GO:0005524, GO:0016459
Brdisv1ABR81000062m.g	
Brdisv1ABR81000063m.g	
Brdisv1ABR81000064m.g	
Brdisv1ABR81000065m.g	
Brdisv1ABR81000066m.g	
Brdisv1ABR81000067m.g	
Brdisv1ABR81000069m.g	
Brdisv1ABR81000070m.g	GO:0016020, GO:0016021, GO:0022857
Brdisv1ABR81000072m.g	
Brdisv1ABR81000073m.g	GO:0016787
Brdisv1ABR81000074m.g	
Brdisv1ABR81000075m.g	GO:0016787
Brdisv1ABR81000076m.g	
Brdisv1ABR81000077m.g	GO:0016021, GO:0055085
Brdisv1ABR81000078m.g	
Brdisv1ABR81000080m.g	
Brdisv1ABR81000081m.g	GO:0005524
Brdisv1ABR81000082m.g	
Brdisv1ABR81000084m.g	GO:0003677, GO:0003700, GO:0006352, GO:0006355, GO:0016987
Brdisv1ABR81000085m.g	GO:0005524, GO:0016020, GO:0016887
Brdisv1ABR81000086m.g	GO:0030001, GO:0046872
Brdisv1ABR81000087m.g	
Brdisv1ABR81000088m.g	
Brdisv1ABR81000089m.g	GO:0016788
Brdisv1ABR81000090m.g	
Brdisv1ABR81000091m.g	GO:0016788
Brdisv1ABR81000092m.g	
Brdisv1ABR81000093m.g	
Brdisv1ABR81000094m.g	
Brdisv1ABR81000095m.g	GO:0005515
Brdisv1ABR81000097m.g	GO:0016798
Brdisv1ABR81000099m.g	GO:0003735, GO:0005622, GO:0005840, GO:0006412
Brdisv1ABR81000100m.g	
